date,1. open,2. high,3. low,4. close,5. volume,Symbol
2023-12-12,193.08,194.72,191.721,194.71,52696900.0,AAPL
2023-12-11,193.11,193.49,191.42,193.18,60943699.0,AAPL
2023-12-08,194.2,195.99,193.67,195.71,53406358.0,AAPL
2023-12-12,370.85,374.42,370.46,374.38,24838253.0,MSFT
2023-12-11,368.48,371.6,366.1,371.3,27708757.0,MSFT
2023-12-08,369.2,374.46,368.23,374.23,20154366.0,MSFT
2023-12-12,131.81,133.0,131.26,132.52,29032831.0,GOOGL
2023-12-11,132.38,133.335,131.36,133.29,31138011.0,GOOGL
2023-12-08,134.2,136.4,134.025,134.99,32260112.0,GOOGL
2023-12-12,145.52,147.5,145.3,147.48,44944264.0,AMZN
2023-12-11,145.66,146.19,143.64,145.89,50907288.0,AMZN
2023-12-08,145.48,147.84,145.4,147.42,41905965.0,AMZN
2023-12-12,238.55,238.99,233.87,237.01,95328313.0,TSLA
2023-12-11,242.74,243.441,237.45,239.74,97913888.0,TSLA
2023-12-08,240.27,245.27,239.2701,243.84,103126829.0,TSLA
2023-12-12,545954.0,553999.99,545797.0,549240.0,7867.0,BRK.A
2023-12-11,540632.0,549999.9888,535881.0,546907.32,10388.0,BRK.A
2023-12-08,538004.0,542143.99,534914.01,539999.9,7636.0,BRK.A
2023-12-12,257.3,259.72,256.395,259.56,5946564.0,V
2023-12-11,255.0,257.63,255.0,256.52,6479312.0,V
2023-12-08,255.0,256.04,253.87,255.74,3732515.0,V
2023-12-12,155.0,155.32,153.65,155.07,5324406.0,JNJ
2023-12-11,154.5,155.48,154.35,155.06,6090360.0,JNJ
2023-12-08,155.42,155.85,153.84,154.42,6254673.0,JNJ
2023-12-12,151.22,151.7,150.23,151.36,7127340.0,WMT
2023-12-11,151.14,151.45,149.54,151.24,10627754.0,WMT
2023-12-08,152.0,152.21,150.24,150.86,11356487.0,WMT